year,product,customer_type,price_with_vat,price_no_vat
2019,1ª CARTILLA,Member,39.6,32.73
2019,1ª CARTILLA,User,51.0,42.15
2020,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,40.0,33.06
2021,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,40.0,33.06
2022,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,21.0,17.36
2023,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,21.0,17.36
2024,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,21.7,17.93
2025,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,22.8,18.84
2026,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,24.0,19.83
2020,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,53.3,44.05
2021,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,53.3,44.05
2022,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,28.0,23.14
2023,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,28.0,23.14
2024,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,28.9,23.88
2025,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,30.3,25.04
2026,1ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,32.0,26.45
2019,2ª CARTILLA,Member,23.8,19.67
2019,2ª CARTILLA,User,30.4,25.12
2020,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,24.0,19.83
2021,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,24.0,19.83
2022,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,12.6,10.41
2023,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,12.6,10.41
2024,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,13.0,10.74
2025,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,13.7,11.32
2026,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,15.0,12.4
2020,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,32.0,26.45
2021,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,32.0,26.45
2022,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,16.8,13.88
2023,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,16.8,13.88
2024,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,17.3,14.3
2025,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,18.2,15.04
2026,2ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,20.0,16.53
2019,3ª CARTILLA,Member,15.9,13.14
2019,3ª CARTILLA,User,20.4,16.86
2022,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Canine_Collaborator,21.54,17.8
2023,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Canine_Collaborator,21.54,17.8
2024,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Canine_Collaborator,22.23,18.37
2025,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Canine_Collaborator,23.3,19.26
2026,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Canine_Collaborator,23.98,19.82
2020,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,16.0,13.22
2021,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,16.0,13.22
2022,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,8.4,6.94
2023,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,8.4,6.94
2024,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,8.7,7.19
2025,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,9.1,7.52
2026,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,Member,10.0,8.26
2020,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,21.3,17.6
2021,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,21.3,17.6
2022,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,11.2,9.26
2023,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,11.2,9.26
2024,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,11.5,9.5
2025,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,12.1,10.0
2026,3ª CARTILLA PERROS DE RASTRO DEL GRUPO 6º,User,14.0,11.57
2018,3ª MEDICION EJEMPLARES PARA DETERMINAR CATEGORIA DE PARTICIPACIÓN (según reglamento),Member,50.8,41.98
2018,3ª MEDICION EJEMPLARES PARA DETERMINAR CATEGORIA DE PARTICIPACIÓN (según reglamento),User,52.4,43.31
2019,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORIA DE PARTICIPACIÓN (según Reglamento),Member,52.0,42.98
2019,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORIA DE PARTICIPACIÓN (según Reglamento),User,53.7,44.38
2020,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORÍA DE PARTICIPACIÓN (según Reglamento),Member,41.3,34.13
2021,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORÍA DE PARTICIPACIÓN (según Reglamento),Member,41.3,34.13
2022,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORÍA DE PARTICIPACIÓN (según Reglamento),Member,43.4,35.87
2023,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORÍA DE PARTICIPACIÓN (según Reglamento),Member,43.4,35.87
2024,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORÍA DE PARTICIPACIÓN (según Reglamento),Member,44.7,36.94
2025,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORÍA DE PARTICIPACIÓN (según Reglamento),Member,46.9,38.76
2026,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORÍA DE PARTICIPACIÓN (según Reglamento),Member,50.0,41.32
2020,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORÍA DE PARTICIPACIÓN (según Reglamento),User,55.0,45.45
2021,3ª MEDICIÓN EJEMPLARES PARA DETERMINAR CATEGORÍA DE PARTICIPACIÓN (según Reglamento),User,55.0,45.45
